scenario_type,sender,subject,body,organization,is_phishing,timestamp
online_shop,service_8015@market-delivery.ru,Важное уведомление от Яндекс.Маркет,Получите скидку 88% в Яндекс.Маркет прямо сейчас!,Яндекс.Маркет,True,2024-11-02 12:47:30.284926
bank,service_4793@secure-banking.ru,Важное уведомление от Сбербанк,"Уважаемый клиент Сбербанк, Ваша карта временно заблокирована...",Сбербанк,True,2024-11-13 12:47:30.284935
online_shop,service_8830@market-delivery.ru,Важное уведомление от Ozon,Получите скидку 76% в Ozon прямо сейчас!,Ozon,True,2024-11-07 12:47:30.284944
social_media,service_2430@ok-account.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-08 12:47:30.284952
social_media,service_5810@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-06 12:47:30.284961
online_shop,service_8848@market-delivery.ru,Важное уведомление от Ozon,Получите скидку 85% в Ozon прямо сейчас!,Ozon,True,2024-11-16 12:47:30.284970
government,service_4003@mvd-notice.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 11469 руб...,ФНС России,True,2024-11-13 12:47:30.284979
government,service_4932@mvd-notice.ru,Важное уведомление от МВД России,Портал Госуслуг: Вам начислена компенсация 12618 руб...,МВД России,True,2024-11-16 12:47:30.284988
bank,service_2567@security-bank.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-21 12:47:30.284998
online_shop,service_1523@market-delivery.ru,Важное уведомление от AliExpress,Получите скидку 66% в AliExpress прямо сейчас!,AliExpress,True,2024-11-15 12:47:30.285007
online_shop,service_9774@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #951899 из Wildberries готов к выдаче...,Wildberries,True,2024-11-28 12:47:30.285016
bank,service_3779@secure-banking.ru,Важное уведомление от Альфа-Банк,Служба безопасности Альфа-Банк: обнаружена попытка входа из Москва...,Альфа-Банк,True,2024-11-15 12:47:30.285024
government,service_9953@tax-portal.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 11482 руб...,ФНС России,True,2024-11-23 12:47:30.285033
online_shop,service_6960@online-shop.ru,Важное уведомление от Ozon,Ваш заказ #542138 из Ozon готов к выдаче...,Ozon,True,2024-11-29 12:47:30.285042
government,service_2010@mvd-notice.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 4913 руб...,ФНС России,True,2024-11-18 12:47:30.285053
bank,service_5007@security-bank.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-16 12:47:30.285062
bank,service_7921@bank-online.ru,Важное уведомление от Сбербанк,"Уважаемый клиент Сбербанк, Ваша карта временно заблокирована...",Сбербанк,True,2024-11-09 12:47:30.285072
bank,service_6679@secure-banking.ru,Важное уведомление от Сбербанк,Служба безопасности Сбербанк: обнаружена попытка входа из Санкт-Петербург...,Сбербанк,True,2024-11-10 12:47:30.285081
government,service_5335@gov-services.ru,Важное уведомление от Госуслуги,Уведомление о штрафе: 6570 руб. Оплатите в течение 3 дней...,Госуслуги,True,2024-11-07 12:47:30.285090
government,service_7687@mvd-notice.ru,Важное уведомление от МВД России,Уведомление о штрафе: 8809 руб. Оплатите в течение 6 дней...,МВД России,True,2024-11-24 12:47:30.285100
online_shop,service_3090@online-shop.ru,Важное уведомление от AliExpress,Получите скидку 87% в AliExpress прямо сейчас!,AliExpress,True,2024-11-29 12:47:30.285109
social_media,service_6504@vk-security.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-12 12:47:30.285118
bank,service_4458@bank-online.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-23 12:47:30.285126
government,service_8746@gov-services.ru,Важное уведомление от Госуслуги,Уведомление о штрафе: 5676 руб. Оплатите в течение 7 дней...,Госуслуги,True,2024-11-22 12:47:30.285135
online_shop,service_9265@online-shop.ru,Важное уведомление от AliExpress,Ваш заказ #438049 из AliExpress готов к выдаче...,AliExpress,True,2024-11-05 12:47:30.285144
government,service_7023@tax-portal.ru,Важное уведомление от МВД России,Уведомление о штрафе: 2656 руб. Оплатите в течение 8 дней...,МВД России,True,2024-11-13 12:47:30.285153
online_shop,service_9536@online-shop.ru,Важное уведомление от AliExpress,Ваш заказ #567299 из AliExpress готов к выдаче...,AliExpress,True,2024-11-09 12:47:30.285162
bank,service_7454@secure-banking.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-23 12:47:30.285171
bank,service_1645@secure-banking.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-13 12:47:30.285180
online_shop,service_5066@online-shop.ru,Важное уведомление от Яндекс.Маркет,Получите скидку 70% в Яндекс.Маркет прямо сейчас!,Яндекс.Маркет,True,2024-11-12 12:47:30.285189
government,service_5824@mvd-notice.ru,Важное уведомление от МВД России,Уведомление о штрафе: 2959 руб. Оплатите в течение 8 дней...,МВД России,True,2024-11-26 12:47:30.285199
government,service_9406@mvd-notice.ru,Важное уведомление от МВД России,Портал Госуслуг: Вам начислена компенсация 8324 руб...,МВД России,True,2024-11-24 12:47:30.285208
online_shop,service_3866@online-shop.ru,Важное уведомление от Ozon,Получите скидку 51% в Ozon прямо сейчас!,Ozon,True,2024-11-01 12:47:30.285219
government,service_2355@mvd-notice.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 13292 руб...,ФНС России,True,2024-11-15 12:47:30.285228
government,service_5955@gov-services.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 2804 руб. Оплатите в течение 4 дней...,ФНС России,True,2024-11-05 12:47:30.285238
social_media,service_7278@telegram-verify.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-02 12:47:30.285247
social_media,service_7934@vk-security.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-26 12:47:30.285256
social_media,service_7353@ok-account.ru,Важное уведомление от ВКонтакте,Обнаружен подозрительный вход в ваш профиль ВКонтакте...,ВКонтакте,True,2024-11-05 12:47:30.285265
government,service_9703@gov-services.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 14906 руб...,Госуслуги,True,2024-11-10 12:47:30.285274
government,service_9841@tax-portal.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 11079 руб...,ФНС России,True,2024-11-19 12:47:30.285285
social_media,service_9016@vk-security.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-11 12:47:30.285294
online_shop,service_5791@delivery-express.ru,Важное уведомление от AliExpress,Получите скидку 67% в AliExpress прямо сейчас!,AliExpress,True,2024-11-11 12:47:30.285304
bank,service_1908@security-bank.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-26 12:47:30.285314
online_shop,service_4247@online-shop.ru,Важное уведомление от Яндекс.Маркет,Получите скидку 58% в Яндекс.Маркет прямо сейчас!,Яндекс.Маркет,True,2024-11-22 12:47:30.285323
government,service_7821@mvd-notice.ru,Важное уведомление от Госуслуги,Уведомление о штрафе: 2764 руб. Оплатите в течение 7 дней...,Госуслуги,True,2024-11-14 12:47:30.285333
social_media,service_1880@ok-account.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-10 12:47:30.285342
social_media,service_6228@telegram-verify.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-11 12:47:30.285351
bank,service_8366@bank-online.ru,Важное уведомление от Альфа-Банк,Служба безопасности Альфа-Банк: обнаружена попытка входа из Новосибирск...,Альфа-Банк,True,2024-11-13 12:47:30.285360
bank,service_5473@security-bank.ru,Важное уведомление от Тинькофф,"Уважаемый клиент Тинькофф, Ваша карта временно заблокирована...",Тинькофф,True,2024-11-05 12:47:30.285368
bank,service_4646@secure-banking.ru,Важное уведомление от ВТБ,Служба безопасности ВТБ: обнаружена попытка входа из Екатеринбург...,ВТБ,True,2024-11-16 12:47:30.285378
bank,service_1663@secure-banking.ru,Важное уведомление от Сбербанк,Служба безопасности Сбербанк: обнаружена попытка входа из Москва...,Сбербанк,True,2024-11-10 12:47:30.285387
social_media,service_7567@vk-security.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-20 12:47:30.285396
online_shop,service_5300@online-shop.ru,Важное уведомление от Wildberries,Получите скидку 70% в Wildberries прямо сейчас!,Wildberries,True,2024-11-09 12:47:30.285405
government,service_9632@tax-portal.ru,Важное уведомление от МВД России,Уведомление о штрафе: 3216 руб. Оплатите в течение 4 дней...,МВД России,True,2024-11-29 12:47:30.285415
social_media,service_1012@vk-security.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-07 12:47:30.285424
government,service_8766@mvd-notice.ru,Важное уведомление от МВД России,Уведомление о штрафе: 5457 руб. Оплатите в течение 10 дней...,МВД России,True,2024-11-29 12:47:30.285433
social_media,service_2184@ok-account.ru,Важное уведомление от ВКонтакте,Обнаружен подозрительный вход в ваш профиль ВКонтакте...,ВКонтакте,True,2024-11-18 12:47:30.285443
social_media,service_6294@ok-account.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-06 12:47:30.285452
online_shop,service_8541@delivery-express.ru,Важное уведомление от Wildberries,Получите скидку 83% в Wildberries прямо сейчас!,Wildberries,True,2024-11-05 12:47:30.285460
government,service_9848@tax-portal.ru,Важное уведомление от МВД России,Портал Госуслуг: Вам начислена компенсация 7467 руб...,МВД России,True,2024-11-26 12:47:30.285469
government,service_3459@mvd-notice.ru,Важное уведомление от МВД России,Уведомление о штрафе: 3482 руб. Оплатите в течение 10 дней...,МВД России,True,2024-11-20 12:47:30.285479
social_media,service_3445@vk-security.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-06 12:47:30.285488
online_shop,service_7624@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #500904 из Wildberries готов к выдаче...,Wildberries,True,2024-11-28 12:47:30.285498
bank,service_8311@secure-banking.ru,Важное уведомление от Альфа-Банк,"Уважаемый клиент Альфа-Банк, Ваша карта временно заблокирована...",Альфа-Банк,True,2024-11-09 12:47:30.285508
government,service_6831@tax-portal.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 12589 руб...,Госуслуги,True,2024-11-28 12:47:30.285517
bank,service_9773@secure-banking.ru,Важное уведомление от Тинькофф,Служба безопасности Тинькофф: обнаружена попытка входа из Санкт-Петербург...,Тинькофф,True,2024-11-17 12:47:30.285526
government,service_9207@tax-portal.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 4925 руб...,ФНС России,True,2024-10-31 12:47:30.285535
online_shop,service_6891@market-delivery.ru,Важное уведомление от AliExpress,Получите скидку 50% в AliExpress прямо сейчас!,AliExpress,True,2024-11-24 12:47:30.285544
government,service_6296@mvd-notice.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 6259 руб...,Госуслуги,True,2024-11-26 12:47:30.285554
bank,service_1808@bank-online.ru,Важное уведомление от Сбербанк,"Уважаемый клиент Сбербанк, Ваша карта временно заблокирована...",Сбербанк,True,2024-11-18 12:47:30.285563
government,service_8169@gov-services.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 3403 руб...,ФНС России,True,2024-11-03 12:47:30.285573
online_shop,service_7702@delivery-express.ru,Важное уведомление от AliExpress,Получите скидку 80% в AliExpress прямо сейчас!,AliExpress,True,2024-11-08 12:47:30.285583
social_media,service_4951@vk-security.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-01 12:47:30.285594
online_shop,service_4996@online-shop.ru,Важное уведомление от Ozon,Получите скидку 89% в Ozon прямо сейчас!,Ozon,True,2024-11-20 12:47:30.285602
social_media,service_1629@vk-security.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-02 12:47:30.285611
online_shop,service_4949@online-shop.ru,Важное уведомление от Wildberries,Ваш заказ #852090 из Wildberries готов к выдаче...,Wildberries,True,2024-11-14 12:47:30.285620
government,service_8783@mvd-notice.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 5901 руб...,Госуслуги,True,2024-11-19 12:47:30.285630
bank,service_5950@bank-online.ru,Важное уведомление от Сбербанк,"Уважаемый клиент Сбербанк, Ваша карта временно заблокирована...",Сбербанк,True,2024-11-23 12:47:30.285639
government,service_5754@mvd-notice.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 8642 руб. Оплатите в течение 7 дней...,ФНС России,True,2024-11-14 12:47:30.285648
social_media,service_1624@vk-security.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-14 12:47:30.285657
government,service_9846@gov-services.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 6788 руб. Оплатите в течение 6 дней...,ФНС России,True,2024-11-01 12:47:30.285666
social_media,service_8592@telegram-verify.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-19 12:47:30.285674
social_media,service_1083@ok-account.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-10 12:47:30.285684
online_shop,service_4766@online-shop.ru,Важное уведомление от Wildberries,Получите скидку 71% в Wildberries прямо сейчас!,Wildberries,True,2024-11-15 12:47:30.285693
government,service_3099@gov-services.ru,Важное уведомление от МВД России,Уведомление о штрафе: 5012 руб. Оплатите в течение 4 дней...,МВД России,True,2024-11-17 12:47:30.285703
social_media,service_7599@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-19 12:47:30.285712
online_shop,service_6205@delivery-express.ru,Важное уведомление от Wildberries,Ваш заказ #547204 из Wildberries готов к выдаче...,Wildberries,True,2024-11-18 12:47:30.285721
bank,service_5302@bank-online.ru,Важное уведомление от Сбербанк,"Уважаемый клиент Сбербанк, Ваша карта временно заблокирована...",Сбербанк,True,2024-11-25 12:47:30.285730
online_shop,service_3287@delivery-express.ru,Важное уведомление от Ozon,Ваш заказ #160672 из Ozon готов к выдаче...,Ozon,True,2024-11-01 12:47:30.285739
social_media,service_5842@vk-security.ru,Важное уведомление от ВКонтакте,Обнаружен подозрительный вход в ваш профиль ВКонтакте...,ВКонтакте,True,2024-11-18 12:47:30.285749
government,service_3026@gov-services.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 11857 руб...,Госуслуги,True,2024-11-20 12:47:30.285758
bank,service_4620@security-bank.ru,Важное уведомление от Тинькофф,Служба безопасности Тинькофф: обнаружена попытка входа из Новосибирск...,Тинькофф,True,2024-11-27 12:47:30.285768
online_shop,service_7647@market-delivery.ru,Важное уведомление от Яндекс.Маркет,Ваш заказ #739270 из Яндекс.Маркет готов к выдаче...,Яндекс.Маркет,True,2024-11-19 12:47:30.285777
social_media,service_5714@vk-security.ru,Важное уведомление от ВКонтакте,Ваш аккаунт ВКонтакте был временно заблокирован...,ВКонтакте,True,2024-11-20 12:47:30.285787
bank,service_6910@secure-banking.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-16 12:47:30.285796
government,service_5254@gov-services.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 6471 руб. Оплатите в течение 8 дней...,ФНС России,True,2024-11-11 12:47:30.285805
government,service_9771@gov-services.ru,Важное уведомление от Госуслуги,Уведомление о штрафе: 8699 руб. Оплатите в течение 9 дней...,Госуслуги,True,2024-11-29 12:47:30.285814
government,service_7278@mvd-notice.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 6742 руб. Оплатите в течение 10 дней...,ФНС России,True,2024-10-31 12:47:30.285823
government,service_5295@gov-services.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 8181 руб...,ФНС России,True,2024-11-12 12:47:30.285832
government,service_1551@gov-services.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 3513 руб...,Госуслуги,True,2024-11-12 12:47:30.285841
government,service_5788@tax-portal.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 9781 руб...,Госуслуги,True,2024-11-25 12:47:30.285850
bank,service_5871@secure-banking.ru,Важное уведомление от Тинькофф,"Уважаемый клиент Тинькофф, Ваша карта временно заблокирована...",Тинькофф,True,2024-11-17 12:47:30.285860
government,service_9277@tax-portal.ru,Важное уведомление от МВД России,Уведомление о штрафе: 9134 руб. Оплатите в течение 7 дней...,МВД России,True,2024-11-04 12:47:30.285869
online_shop,service_1079@delivery-express.ru,Важное уведомление от AliExpress,Получите скидку 87% в AliExpress прямо сейчас!,AliExpress,True,2024-11-01 12:47:30.285879
online_shop,service_2776@market-delivery.ru,Важное уведомление от Ozon,Ваш заказ #385508 из Ozon готов к выдаче...,Ozon,True,2024-11-07 12:47:30.285888
bank,service_2119@secure-banking.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-16 12:47:30.285897
social_media,service_1666@ok-account.ru,Важное уведомление от Одноклассники,Обнаружен подозрительный вход в ваш профиль Одноклассники...,Одноклассники,True,2024-11-19 12:47:30.285906
social_media,service_3357@telegram-verify.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-15 12:47:30.285915
social_media,service_3902@ok-account.ru,Важное уведомление от ВКонтакте,Обнаружен подозрительный вход в ваш профиль ВКонтакте...,ВКонтакте,True,2024-11-10 12:47:30.285924
bank,service_9938@secure-banking.ru,Важное уведомление от ВТБ,Служба безопасности ВТБ: обнаружена попытка входа из Екатеринбург...,ВТБ,True,2024-11-29 12:47:30.285934
social_media,service_2974@vk-security.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-13 12:47:30.285943
social_media,service_4545@ok-account.ru,Важное уведомление от Telegram,Ваш аккаунт Telegram был временно заблокирован...,Telegram,True,2024-11-17 12:47:30.285952
social_media,service_9647@vk-security.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-19 12:47:30.285961
government,service_2501@mvd-notice.ru,Важное уведомление от ФНС России,Уведомление о штрафе: 6867 руб. Оплатите в течение 9 дней...,ФНС России,True,2024-11-18 12:47:30.285970
bank,service_1883@bank-online.ru,Важное уведомление от Альфа-Банк,Служба безопасности Альфа-Банк: обнаружена попытка входа из Москва...,Альфа-Банк,True,2024-11-25 12:47:30.285979
social_media,service_6019@vk-security.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-21 12:47:30.285988
social_media,service_4473@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-13 12:47:30.285997
bank,service_9973@bank-online.ru,Важное уведомление от Тинькофф,"Уважаемый клиент Тинькофф, Ваша карта временно заблокирована...",Тинькофф,True,2024-11-06 12:47:30.286005
bank,service_8758@bank-online.ru,Важное уведомление от ВТБ,Служба безопасности ВТБ: обнаружена попытка входа из Санкт-Петербург...,ВТБ,True,2024-10-31 12:47:30.286014
government,service_8986@tax-portal.ru,Важное уведомление от ФНС России,Портал Госуслуг: Вам начислена компенсация 7392 руб...,ФНС России,True,2024-11-26 12:47:30.286023
online_shop,service_7617@online-shop.ru,Важное уведомление от Яндекс.Маркет,Получите скидку 76% в Яндекс.Маркет прямо сейчас!,Яндекс.Маркет,True,2024-11-04 12:47:30.286033
online_shop,service_3188@online-shop.ru,Важное уведомление от Яндекс.Маркет,Ваш заказ #616225 из Яндекс.Маркет готов к выдаче...,Яндекс.Маркет,True,2024-11-23 12:47:30.286042
social_media,service_8933@telegram-verify.ru,Важное уведомление от Telegram,Обнаружен подозрительный вход в ваш профиль Telegram...,Telegram,True,2024-11-13 12:47:30.286051
bank,service_6585@bank-online.ru,Важное уведомление от ВТБ,Служба безопасности ВТБ: обнаружена попытка входа из Екатеринбург...,ВТБ,True,2024-11-10 12:47:30.286060
government,service_1069@mvd-notice.ru,Важное уведомление от МВД России,Уведомление о штрафе: 6196 руб. Оплатите в течение 6 дней...,МВД России,True,2024-11-17 12:47:30.286069
bank,service_3892@secure-banking.ru,Важное уведомление от Тинькофф,Служба безопасности Тинькофф: обнаружена попытка входа из Екатеринбург...,Тинькофф,True,2024-11-29 12:47:30.286078
government,service_2882@tax-portal.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 14381 руб...,Госуслуги,True,2024-11-29 12:47:30.286089
government,service_8867@mvd-notice.ru,Важное уведомление от Госуслуги,Портал Госуслуг: Вам начислена компенсация 8521 руб...,Госуслуги,True,2024-11-14 12:47:30.286097
bank,service_1385@secure-banking.ru,Важное уведомление от ВТБ,"Уважаемый клиент ВТБ, Ваша карта временно заблокирована...",ВТБ,True,2024-11-13 12:47:30.286106
online_shop,service_6815@market-delivery.ru,Важное уведомление от AliExpress,Получите скидку 62% в AliExpress прямо сейчас!,AliExpress,True,2024-11-11 12:47:30.286115
social_media,service_3338@ok-account.ru,Важное уведомление от Одноклассники,Ваш аккаунт Одноклассники был временно заблокирован...,Одноклассники,True,2024-11-16 12:47:30.286124
bank,service_9832@bank-online.ru,Важное уведомление от Сбербанк,Служба безопасности Сбербанк: обнаружена попытка входа из Новосибирск...,Сбербанк,True,2024-11-08 12:47:30.286133
