ت;Email Text;Email Type
28;"من مكتب د. جيري بيري
مدير قسم التدقيق والمحاسبة ،
بنك إفريقيا (BOA)
واغادوغو ، بوركينا فاسو.

أتقدم بهذا الاستئناف مع فهمي أن أي حقائق أو رأي عبرت عنه يتم التعبير عنه بثقة وحصرًا لمعلوماتك الشخصية واستخدامك.

أنا د. جيري بيري مدير الفواتير والصرف في قسم الحوالات الأجنبية في بنكي. اكتشفت في إدارتي مبلغًا مهجورًا قدره 12.5 مليون دولار أمريكي (اثنا عشر مليونًا وخمسمائة ألف دولار أمريكي) برقم حساب رقم 14-2558-5976 يخص أحد عملائنا الأجانب الذي توفي مع زوجته وابنته الوحيدة في تحطم طائرة تابعة لشركة ألاسكا إيرلاينز الرحلة رقم 261 التي تحطمت في 31 يناير 2000. يمكنك قراءة المزيد عن تحطم الطائرة عند زيارة هذا الموقع
http://www.cnn.com/2000/US/02/01/alaska.airlines.list/

مالك هذا الحساب هو السيد موريس طومسون ، رجل صناعي أمريكي وعظيم ومقيم في ألاسكا. وبناءً على هذا الاكتشاف ، قررت الآن تقديم اقتراح العمل هذا لك ولمصرفنا لإصدار الأموال لك. يجب عليك اتباع التعليمات التي سأرسلها إليك كأقرب الأقارب أو الأقارب للمتوفى من أجل السلامة والصرف اللاحق حيث لا أحد يأتي من أجلها ولا أريد أن تذهب هذه الأموال إلى خزينة بنكنا كفاتورة لم تتم المطالبة بها .

ينص قانون البنوك والمبادئ التوجيهية هنا على أنه إذا بقيت هذه الأموال دون مطالبة بعد أربع سنوات ، فسيتم تحويل الأموال إلى خزينة البنك كصندوق لم تتم المطالبة به. لقد بقي المال حتى الآن أكثر من أربع سنوات وأنا أقوم بإعداد توثيق لإثبات أن هذه الأموال قد تم تحويلها إلى خزينة بنكنا. سيكون بيني وبينك فقط من يعرف أن المال لا يتم تحويله إلى كنزنا.

إن طلب الأجنبي كأقرب أقرباء في هذه الصفقة ناتج عن حقيقة أن العميل كان أجنبيًا ولا يمكن للمواطن البوركينابي أن يقف كأقرب أقرباء لأجنبي. تقديراً لمساعدتكم ، أقدم لكم 30٪ من المجموع الكلي. 5٪ للطوارئ (تكلفة التحويل / الرسوم الأخرى) من المحتمل أن يتم تكبدها أثناء سير المعاملة ، في حين أن
65٪ المتبقية بالنسبة لي.

عند استلام ردك ، سأرسل إليك عن طريق الفاكس أو البريد الإلكتروني نص الطلب الذي ستقوم بإكماله وإرساله إلى مصرفنا لطلب دفع هذه الأموال لك بصفتك أقرب أقرباء السيد موريس طومسون. لن أخفق في إخطارك بأن هذه المعاملة خالية من أي عقبات وأنه لا يجب أن تشعر بأي خوف لأن جميع الترتيبات المطلوبة قد تم إجراؤها للتحويل. يجب عليك الاتصال بي على الفور بمجرد تلقي هذا البريد عبر البريد الإلكتروني أعلاه.

من فضلك لا تتردد في الاتصال بي على الفور إذا كنت تفكر في طلبي العاجل.

تفضلوا بقبول فائق الاحترام،
دكتور. جيري بيري";Phish Email - 28
29;"صديقي العزيز،

سيكون رد فعلك الأول على هذا البريد هو الرفض التام ، والخوف ، وربما عدم التصديق ، والامتلاك إلى حد كبير للفظائع التي يرتكبها الناس هذه الأيام. امسح دموعي وتناسب حلمي ولفتتي الانسانية.

بينما تقرأ هذا ، لا أريدك أن تشعر بالأسف من أجلي ، لأنني أعتقد أن الجميع يموتون يومًا ما. ، أنا الزرقاوي يوسف ، تاجر نفط في دبي ، الإمارات العربية المتحدة (الإمارات العربية المتحدة). تم تشخيص إصابتي بالسرطان ، والذي تم اكتشافه في وقت متأخر جدًا ، بسبب التراخي في العناية بصحتي. لقد نجس الطب بكل أشكاله. في الوقت الحالي ، ليس لدي سوى قدر محدود من العيش ، وفقًا لطبيبي الطبي. لم أكن عشت حياتي بشكل جيد بشكل خاص ، لأنني لم أهتم بنفسي أبدًا ، لكنني لم أكن أهتم بنفسي أبدًا ، على الرغم من أنني غني جدًا ، لم أكن أبدًا كرمًا ، لقد ركزت فقط على عملي لأن هذا هو الشيء الوحيد الذي كنت أهتم به. لكنني الآن نادم على كل هذا
كما أعلم الآن أن هناك ما هو أكثر في الحياة من مجرد الرغبة في امتلاك أو جني كل المال في العالم.

أعتقد أنه عندما يمنحني الله فرصة ثانية ويشفيني ، سأعيش حياتي بطريقة مختلفة عن الطريقة التي عشتها بها ، لقد زرعت بذرة لشفائي شئت وأعطيت معظم ممتلكاتي وأصولي المباشرة والخاصة بي. أفراد الأسرة الممتدة وكذلك عدد قليل من الأصدقاء المقربين. أريد من الله أن يرحمني ويقبل روحي وهكذا ، فقد قررت أن أمنح السلاح للمنظمات الخيرية وأن أعطي العون والراحة لمن هم أقل حظًا من ضحايا تسونامي وإعصار كاترينا ، لأنني أريد أن يكون هذا واحدًا من آخر الأعمال الصالحة التي أقوم بها على الأرض حتى الآن ، من خلال توزيع بعض هذه الأموال على بعض المنظمات الخيرية في الهند ، وضحايا إعصار كاترينا في الولايات المتحدة وأجزاء أخرى من العالم. الآن بعد أن تدهورت صحتي بشكل سيء للغاية ، لا يمكنني القيام بذلك بنفسي بعد الآن ، طلبت ذات مرة من أفراد عائلتي إغلاق أحد حساباتي في البنك السعودي وتوزيع الأموال التي أملكها هناك على المنظمات الخيرية والأقل حظًا في بلغاريا والسودان. لقد صرفوا المال لكنهم احتفظوا به فقط لأنفسهم.

ومن ثم فإنني لم أعد أثق بهم ، حيث يبدو أنهم لم ينازعوا ما تركته لهم بالفعل ، وآخر ما لدي من أموالي ، والذي لا يعرفه أحد ، هو الإيداع النقدي الضخم البالغ خمسة وثلاثين مليون دولار أمريكي (الولايات المتحدة). 35 مليون دولار) التي أملكها في Vault of The Security Company كعائلة ذات قيمة منذ عام 2003 لحفظها ، أريدك أن تجمع هذا الوديعة نيابة عني وأن تدفعها لضحايا زلزال تسونامي في آسيا لمن هم أقل حظًا. من فضلك أرسل لي بريدًا للإشارة
استعدادك للمساعدة في هذا الصرف.

 سأخصص لك 10٪ من وقتك وجهدك من خلال إخطار شركة الأمن بمجرد أن أسمع منك ، أحتاج إلى ردك العاجل مع اسمك وعنوانك بالكامل وأرقام هاتفك والفاكس ومهنتك حتى أفعل ذلك. لست مضطرًا للاستمرار في البحث عن شخص ذي مصداقية للتعامل مع هذا المشروع لنفسه وبقية الأشخاص الأقل حظًا ، وسأناشدك أيضًا أن تصلي دائمًا من أجلي لأن الله وحده يشفي.


وسالم

يعتبر،
يوسف.";Phish Email - 29
30;"مرحبا صديقي العزيز.

كيف حالك اليوم؟ آمل أن يكون كل شيء على ما يرام معك ومع أسرتك؟ ، قد لا تفهم سبب وصول هذا البريد إليك ، ولكن إذا كنت لا تتذكرني ، فربما تكون قد تلقيت بريدًا إلكترونيًا مني في الماضي بخصوص اقتراح عمل بملايين الدولارات لم ننتهي أبدا.
إنني أنتهز هذه الفرصة لإبلاغكم أن هذا العمل الذي تبلغ قيمته عدة ملايين من الدولارات قد تم بمساعدة شريك آخر من ألمانيا مول الصفقة إلى نتيجة منطقية.

أشكركم على جهدكم الكبير في تحويلنا غير المكتمل للأموال إلى حسابك لسبب أو لآخر معروف لك ، لكني أريد أن أبلغكم بأنني نجحت في تحويل الأموال إلى حساب شريكي الجديد في ألمانيا ، والذي كان في النهاية ، قادر على مساعدتي في هذا المشروع العظيم.

لما بذلتموه من مجهود وإخلاص وشجاعة وجدارة بالثقة أظهرتموه خلال سير الصفقة ، أريد أن أعوضكم وأعبر لكم عن امتناني بمبلغ 1،200،000.00 دولار. لقد تركت لك حوالة مصرفية دولية معتمدة بقيمة 1،200،000.00 دولار أمريكي يمكن صرفها في كل مكان في العالم.

صديقي العزيز ، أود منك الاتصال بمسؤول حسابي لدى Continental Trust Bank Plc ، أبوجا- نيجيريا ، اسمه MR.Johnson ، على عنوان بريده الإلكتروني المباشر (fundexecutive_john@myway.com) الهاتف +234 80509729 04 للحصول على تحصيل حوالتك المصرفية المعتمدة. لقد فوضته لإفراجك عن حوالة مصرفية كلما اتصلت به بخصوص ذلك.

في الوقت الحالي ، أنا مشغول جدًا هنا بسبب المشاريع الاستثمارية التي أجريها أنا والشريك الجديد في متناول اليد ، أرجو أن تقبل هذا الرمز بحسن نية لأنه من صميم قلبي ، أيضًا الامتثال لتوجيهات السيد جونسون حتى يرسل لك المسودة دون أي تأخير.

جهة الاتصال: السيد جونسون.
مسؤول حساب ، كونتيننتال
تراست بنك بي إل سي.
أبوجا- نيجيريا.
هاتف: +234 80509729 04.
عنوان بريده الإلكتروني: [fundexecutive_john@myway.com]

لذلك ، يجب أن ترسل إليه اسمك الكامل ورقم هاتفك / عنوانك البريدي الصحيح حيث تريد منه إرسال المسودة إليك ، أو معلومات حسابك لإيداع الشيك المصرفي.

شكرا وبارك الله فيك وعائلتك.

آمل أن نسمع منك بمجرد صرف الشيكات المصرفية الخاصة بك.

توني ادامز.
فرانكفورت، ألمانيا.";Phish Email - 30
31;"يرجى الاحتفاظ بالسرية.
عناية: سيدي / سيدتي.
قد تأتيك هذه الرسالة كمفاجأة ، لكنني دعوت الله حقًا ليساعدني في اختيار شخص ما سيكون شريكي الحقيقي ، شخص لديه خوف من الله لا يمكنه أن يخون عائلتي المتبقية وأنا حتى لا أعرف بمن أثق لذلك سمحت لروح الله أن تقودني. أنا السيدة باتريشيا جوناس سافيمبي ، زوجة الزعيم الراحل للاتحاد الوطني للتحرير الكامل لأنغولا (يونيتا) بعد أن نجت من أكثر من اثنتي عشرة محاولة اغتيال ، قتل زوجي سافيمبي بعد أربع سنوات ، في فبراير 2002 ، في معركة مع القوات الحكومية الأنغولية.
قبل أسبوعين من وفاته ، اتصل بي وكشف عن وجود 16.400.000.00 دولار أمريكي (ستة عشر مليونًا وأربعمائة ألف دولار أمريكي) أودعها كأشياء ثمينة لدى شركة للتمويل والأمن في جنوب إفريقيا.
كان هذا المال هو الدخل الذي جمعه زوجي الراحل من بيع الذهب والألماس مع كبار أعضاء الاتحاد الوطني للتحرير الكامل لأنغولا.
عندما سمعت بالأخبار السيئة عن وفاة زوجي ، نقلت مساعدته الموثوقة أنا وأفراد أسرتنا إلى الاختباء ، ولكن تم القبض علي أنا وابني الأكبر ووضعنا رهن الإقامة الجبرية. لحسن حظنا ، هرب ابني الثاني إلى جنوب إفريقيا عبر الحدود حيث يقيم كلاجئ سياسي.
لذا فإن سبب الاتصال بك هو بسبب المشكلة التي يواجهها ابني في محاولة تحويل الأموال ، فإن قانون العمل في جنوب إفريقيا لا يسمح لطالب اللجوء (اللاجئ) بالحق في المعاملات المالية.
كان هذا هو السبب الأساسي لقراري الاتصال بك ، حتى تكون أنت المستفيد من الصندوق. إذا اتفقنا على ذلك ، فسيتم تغيير ملكية الشحنة / الأموال وكل المستندات تلقائيًا إلى اسمك.
نقدم لك 30٪ من إجمالي الأموال ، كعمولة مقابل خدماتك ، بينما يذهب 70٪ إلى عائلتي ، والتي نعتزم استثمارها على الفور ويتم إطلاق سراحنا من الإقامة الجبرية.
أنا أؤكد لك أن هذه الصفقة خالية من المخاطر ، كل ما نحتاجه منك هو تعاونك وصدقك في الهدف.
سوف تتواصل مع ابني بيتر سافيمبي على البريد الإلكتروني:
petersavimbi8@webmail.co.za لمزيد من التفاصيل حول كيفية إتمام هذه المعاملة.
سأنتظر ردكم من خلال ابني ، أشكركم وبارك الله فيكم.
في رسالتك الإلكترونية إلى ابني بيتر ، يرجى توجيه ما يلي إليه حيث سيتم استخدامه أثناء عملية تغيير الملكية:
1 أنت الاسم الكامل
2-عنوان الاتصال (المنزل) الخاص بك
3. رقم هاتفك المحمول / المنزل ، ورقم الفاكس
4.يمكنك أيضًا الاتصال بابني على رقم هاتفه في جنوب إفريقيا +27724340319.
شكراً وأتمنى أن يرشدنا الأب العظيم.
شكرًا لك.
السيدة باتريشيا جوناس سافيمبي
من أجل: عائلة سافيمبي.
البريد الإلكتروني البديل: petersavimbi5@webmail.co.za";Phish Email - 31
32;مرحباً عزيزي ، قبل أن أقدم نفسي ، أود إخبارك أن هذه الرسالة ليست خدعة وأحثك على التعامل معها بجدية. أنا مدير في قسم المشتريات بوزارة البترول هنا في الولايات المتحدة الأمريكية. لقد تلقيت بريدك الإلكتروني أثناء البحث عن شخص موثوق به ، يمكنه مساعدتي في تلقي الأموال المحولة للعقد المفترض. جاء هذا الصندوق نتيجة لمبالغ تزيد عن العقود المقدرة التي تم ترسيتها من قبل مقاولين أجانب في وزارة البترول. وقد وافقت الوزارة المعنية على هذه الأموال على المبالغ التي تم إصدار فواتير بها للدفع. تم تنفيذ العقود التي تم إنشاء المبالغ الفواتير منها وتفويضها. ما أنا على وشك استلامه الآن هو المبالغ الزائدة التي تمت إضافتها أثناء عملية الحصول على العقود لمصلحتي. هذه صفقة عادية يتم إجراؤها في وزارتي من قبل كبار المسؤولين ، ومن جانبي ، تم وضع جميع الطرائق لضمان إبرام سلس لدفع العقد إلى حسابك المصرفي في غضون الأيام القليلة المقبلة. يوافق إدارتي على المدفوعات للمقاولين ، وأنا أترأس القسم. كل ما أريده منك هو تلقي هذه الأموال نيابة عني كشركة من الباطن ، لأنني بصفتي مسؤولًا حكوميًا لا يمكنني تحصيل الأموال مباشرة من وزارتي ، ولا يُسمح لي بموجب القانون بتشغيل / إدارة حسابات بنكية أجنبية. إذا كنت جديرًا بالثقة ويمكنك مساعدتي في تلقي الأموال ، فلا تتردد في الرد على الفور. يرجى ملاحظة أنه لا توجد مخاطر في تلقي أموال العقد المقدرة في حسابك. أريدك أن تحدد بالنسبة المئوية ما يجب أن يكون لديك للمشاركة في استخدام حسابك المصرفي لتأمين الأموال. بمجرد إبداء اهتمامك ، سيتم تقديم مزيد من التفاصيل والمبلغ المعني إليك بمجرد تلقي رد منك. أتمنى أن أثق بك في التعامل مع هذا الاقتراح بمنتهى السرية ، وأتطلع إلى الاستماع منك في أقرب وقت. مع أطيب التحيات المهندس وحيد كمال.;Phish Email - 32
33;"الانتباه من فضلكم

مؤخرًا ، عبر راديو وتلفزيون البي بي سي ، ربما كنت تشاهد وتسمع في وسائل الإعلام ، وتشترك مع عائلتي.
 
أنا السيدة ج.تايلور زوجة الرئيس الليبيري الرسمي تشارلز تيلور الذي كان في المنفى إلى (نيجيريا) بلد في غرب إفريقيا منذ الاضطرابات السياسية في الدولة الليبيرية ، كان زوجي في بلد غرب إفريقيا من أجل مهاجمة ، ولكن في الآونة الأخيرة ، طالبت الأمم المتحدة بضرورة محاكمته أمام المحكمة الليبيرية التي تم تذكيره بها.
 
في الوقت الحالي ، حياة عائلتي وجميع أفراد عائلتي غير متأكدة من أن الأمة تعامل عائلتي بطريقة غير إلهية.
 
 من فضلك أولاً وقبل كل شيء ، أحتاج إلى مساعدك لمساعدة عائلتي التي لا حول لها ولا قوة لتأمين هذا الجزء من حساب عائلتي ،
ومن ثم تم تجميد بعض حسابات زوجي من قبل الإدارة الحالية.
 
ومع ذلك ، قررت عائلتي البحث عن سامري جيد مثلك يمكنه المساعدة في تأمين هذا المبلغ $ 30.270،000،00
(ثلاثون مليونا و اثنان وسبعون ألف دولار).
 
 التي يتم الاحتفاظ بها بشكل صحيح في بيئة غير آمنة ، أعتقد أنك الشخص الوحيد الذي يمكنه المساعدة في تأمين هذا الصندوق لتجنبه من التشويش والتشويش من قبل هذه الإدارة الحالية ، تعد عائلتي بمكافأتك بـ 20٪ من هذا الذي تم العثور عليه بعدك استلمها أدعو الله أن يجازيكم كما ترى عائلتي تمر من هذا الوضع.
 
الرجاء الرد على: jeandcine@yahoo.co.uk
بمجرد تلقي هذا البريد الإلكتروني
 
شكرا وبارك الله
 السيدة جويل تايلور.";Phish Email - 33
34;"صديقي العزيز،

لقد حصلت على جهات اتصالك عبر البريد الإلكتروني من بيانات محوسبة بعد بحثي المكثف عبر موقع الويب عن شخص يتقي الله وجدير بالثقة لمنح هذه المعاملة التي هي الأمل الوحيد لبقائنا في يديه. لقد صليت وتأملت بحرارة من أجلها وألتزمتها بيد الله أن تكون أنت الشخص الشرعي لتساعدنا قبل أن أتخذ قراري بالاتصال بك ، أنا مدير قسم التدقيق في مصرفنا واغادوغو بوركينا فاسو: اكتشفنا في إدارتي مبلغًا مهجورًا قدره 15 مليون دولار أمريكي (خمسة عشر مليون دولار أمريكي). في حساب يخص هذا العميل الأجنبي الذي مات مع زوجته وأطفاله في حادث تحطم الطائرة ، ومنذ أن حصلنا على معلومات عن وفاته ، كنا نتوقع أن يأتي أقرب أقربائه والمطالبة بأمواله بسبب
لا يمكننا الإفراج عنها إلا إذا تقدم شخص ما للحصول عليها كأقرب أقرباء أو قرابة للمتوفى ، كما هو موضح في إرشاداتنا المصرفية ولكن للأسف علمنا أن جميع أقاربه أو أقربائه المفترضين قد ماتوا معه في حادث تحطم الطائرة ولم يترك أحدًا وراءنا. للمطالبة ، ولذلك قررت عند هذا الاكتشاف أن أقدم لك هذه الاقتراحات المفيدة لك وأن أفرج عن المال لك كأقرباء أو قرابة للمتوفى من أجل السلامة والصرف اللاحق لأن لا أحد يأتي من أجله لأنني لا أملك لا نريد أن تذهب هذه الأموال إلى خزينة البنك باعتبارها فاتورة لم تتم المطالبة بها. ينص القانون والمبادئ التوجيهية المصرفية هنا على أنه إذا بقيت هذه الأموال دون مطالبة بعد خمس سنوات ، فسيتم تحويل الأموال إلى خزينة البنك كصندوق لم تتم المطالبة به. طلب ​​الأجنبي في هذه المعاملة ضروري لأن عميلنا الراحل كان أجنبياً و
لا يمكن لبوركينا فاسو أن تكون أقرباء لأجنبي ، وأنا أوافق على أن 30٪ من هذه الأموال ستكون لك كشريك أجنبي فيما يتعلق بتوفير حساب أجنبي. سيتم تخصيص 10٪ للنفقات التي تم تكبدها أثناء العمل و 60٪ بالنسبة لي. بعد ذلك ، سأزور بلدك للصرف وفقًا للنسب الموضحة ، لذلك لتمكين التحويل الفوري لهذا الصندوق إليك كما رتبت ، سوف تزودني بتفاصيل حساب استلام جيدة حيث
سيتم تحويل الأموال ، رقم الهاتف والفاكس الخاصين بك لتسهيل الاتصال.
عند استلام ردك ، سأرسل لك عن طريق الفاكس أو البريد الإلكتروني نصًا من الطلب الذي يجب عليك إعادة كتابته وإرساله بالفاكس إلى مدير التحويلات الخارجية لدينا ، لتسهيل تنفيذ المعاملة. أن هذه الصفقة خالية من أي عقبات بنسبة 100٪ من كلا الجانبين. نظرًا لأن جميع الترتيبات المطلوبة قد تم إجراؤها للتحويل وأكثر من ذلك ، سيتم تزويدك بجميع المستندات التي تدعم هذه المطالبة بعد أن تكون قد تقدمت بطلب. أعلم أنني مسؤول كبير بالبنك ، وأثق في أن أسمع أخبارك على الفور.

تفضلوا بقبول فائق الاحترام،

السيد كبورو موسى";Phish Email - 34
35;سيدي العزيز ، يوم سعيد لك أنا السيدة مريم أباشا. لقد حصلت على اتصالك من زميل مقرب مني يعمل مع غرفة التجارة والصناعة النيجيرية الذي زار بلدك لحضور معرض تجاري دولي بناءً على سعيي للحصول على رجل أعمال أو شركة أجنبية موثوق بها وموثوق بها. ومع ذلك ، فقد أكد لي أنه يمكن الوثوق بك للتعامل مع صفقة بهذا الحجم. بعد الوفاة المفاجئة لزوجي الجنرال ساني أباتشا ، رئيس الدولة السابق لنيجيريا الراحل في عام 1998 ، دخلت في حالة من الارتباك والإحباط واليأس المطلق من قبل الإدارة المدنية الحالية ، لقد تعرضت للتعذيب الجسدي والنفسي من قبل رجال الأمن في الدولة. بصفتي أرملة مصابة بصدمة شديدة ، فقدت الثقة مع أي شخص داخل البلد. لا بد أنك سمعت من خلال تقارير وسائل الإعلام والإنترنت عن استرداد مبالغ ضخمة مختلفة من المال أودعها زوجي في شركات أمنية مختلفة في الخارج ، فبعض الشركات تتخلى عن أسرارها عن طيب خاطر وتكشف عن أموالنا التي تم إيداعها هناك بثقة أو العديد من الابتزاز الصريح. في الواقع ، بلغ إجمالي المبلغ الذي اكتشفته الحكومة حتى الآن 700 دولار. مليون دولار. وهم لا يلينون ليجعلوني فقيرة مدى الحياة. سأقدم لك المزيد من المعلومات حول هذا الصدد بمجرد الرد. إنني أثق بك كثيرًا ، ومن ثم فإن توجهي إليك بسبب الشبكة الأمنية الموضوعة في شؤوني اليومية لا يمكنني تحمل تكاليف زيارة السفارة ، ولهذا السبب قررت الاتصال بك وآمل ألا تخون ثقتي بك. لقد أودعت مبلغ 35 مليون دولار أمريكي في شركة أمنية بالخارج تم حجب اسمها في الوقت الحالي حتى نفتح الاتصال. سأكون ممتنا لو تلقيت هذا المبلغ في حسابك لحفظه. هذا الترتيب معروف لك ولمحامي عائلتي الذي سيتعامل معك مباشرة لأنني ما زلت قيد الإقامة الجبرية. أنا أفكر بجدية في الاستقرار في الخارج بمجرد دخول هذا الصندوق إلى حسابك حتى أتمكن من البدء من جديد إذا كنت ترغب فقط ، ولكن إذا كان ذلك ممكنًا ، فقط ساعدني في تحويل هذه الأموال إلى حسابك المصرفي الذي سيتراكم 20٪ من هذا الصندوق. الرجاء الصدق هو كلمة السر في هذه الصفقة. وفي حالة قبولك لشروطي ، يرجى إرسال رسالة بريد إلكتروني إليّ تدل على اهتمامك بصندوق البريد الإلكتروني الخاص بي لأن هذا آمن فقط بالنسبة لي الآن حتى نتمكن من بدء الاتصال على الفور. وعند استلام رسالتك التي تهمك ، سأقدم لك صورة أكثر تفصيلاً للأشياء. في حالة عدم الموافقة ، يرجى عدم السماح لي بالخروج إلى الأمن لأنني أقدم لك هذه المعلومات بثقة وثقة تامين. لا توجد مخاطر متورطة لأن IAM لا تزال تتحكم في شؤون زوجي. سأكون ممتنًا للغاية إذا قبلت اقتراحي بحسن نية. الرجاء تسريع العمل. تفضل بإرسال جميع المراسلات الأخرى عبر Presidentwifeng@indiatimes.com ولكن يرجى نسخ هذا البريد الإلكتروني: profadams @ usa.com تفضلوا بإخلاص هاجيا مريم أباشا.;Phish Email - 35
36;"مقترح عمل عاجل يسعدني أن أطلعك على اقتراح أعمال عاجل ومربح للغاية ، على الرغم من أنني لا أعرف أنك لم أراك من قبل ، ولكن ثقتي كانت معك عندما كان الرئيس التنفيذي لغرفة ولاية لاغوس في سلمتني التجارة والصناعة جهة الاتصال الخاصة بك من أجل عمل تجاري سري. أنا موظف في مصرف United Bank for Africa (UBA) ، فرع Ilupeju ، Lagos Nigeria. وبالتالي فإن العمل المقصود هو ؛ كان لدينا عميل ، أجنبي (تركي) مقيم في نيجيريا ، كان متعاقدًا مع إحدى الهيئات شبه الحكومية. لديه في حسابه في فرعي مبلغ 21.5 مليون دولار أمريكي (واحد وعشرون مليون وخمسمائة ألف دولار أمريكي) ، لسوء الحظ ، توفي الرجل منذ أربع سنوات حتى اليوم تقدم غير من أقاربه للمطالبة مال. بعد أن لاحظت ذلك ، قمت بالتعاون مع اثنين من كبار المسؤولين الآخرين بالبنك بالتستر على الحساب طوال هذا الوقت. الآن نريدك (كونك أجنبيًا) أن تكون مقدمًا كأحد أقاربه وأن نرسل حسابك والمستندات الأخرى ذات الصلة لننصحك بها للتصديق على المطالبة. سنستخدم مراكزنا للحصول على جميع الوثائق الداخلية لدعم المطالبات ، وستستغرق الإجراءات بأكملها عشرة أيام عمل فقط لاسترداد الصندوق بنجاح دون أي أثر حتى في المستقبل. ردك هو فقط ما ننتظره لأننا رتبنا كل الأشياء الضرورية. بمجرد وصول هذه الرسالة إليك ، يرجى الرجوع إلي للإشارة إلى اهتمامك ، ثم سأقدم لك الإجراءات الكاملة لضمان إتمام الصفقة بنجاح. لمساعدتك ، اتفقنا على منحك ثلاثين بالمائة (30٪) من المبلغ الإجمالي في نهاية المعاملة. إنه خالي من المخاطر وثروة ضخمة. ستكون جميع المراسلات الخاصة بهذه المعاملة من خلال عناوين البريد الإلكتروني والهاتف والفاكس حتى نهاية المعاملة عندما نجتمع لتقاسم الأموال على أساس هذه النسبة المتفق عليها. الرجاء الرد بشكل عاجل عن طريق البريد الإلكتروني أو الفاكس أو الاتصال بي على أرقام هاتفي الخاصة كما هو مذكور أعلاه. أنا في انتظار ردك المبكر. شكرا لك مع خالص التقدير مارتن تشيم";Phish Email - 36
37;"عزيزي ،

يوم سعيد ، هذا الطلب السري للغاية يجب أن يكون مفاجأة لك ، ولكن بسبب طبيعة ما يحدث لي وعائلتي حثتني على الاتصال بك ، وأنا أتفهم تمامًا أن هذه ليست أفضل طريقة للاتصال نظرًا لطبيعة طلبي والاهتمام الذي يتطلبه ، فقد حصلت على معلومات الاتصال الخاصة بك من دليل معلومات بلدك أثناء بحثي اليائس عن شخص يمكنه مساعدتي سراً وسرية في نقل وإدارة بعض ثروات الأسرة.

اسمي السيد مايكل كاما ، الابن الثاني للسيد سميث كاما ، من بيتبريدج زيمبابوي ، في ذروة الأزمات السياسية الحالية في بلدنا ، حيث يتم قتل المزارعين البيض في بلادنا ونزع ممتلكاتهم من قبل أنصار رئيسنا ، السيد روبرت موغابي ، في جهودهم لاستعادة جميع المزارع المملوكة للبيض في بلدنا ، قُتل والدي وأخي الأكبر بوحشية حتى وفاة مؤلمة في 13 فبراير 2002 ، في يكافح من أجل حماية بعض المزارعين البيض الذين هرعوا للاحتماء في منزلنا. كان والدي خلال حياته على الأرض رجل أعمال بارزًا يتاجر في الماس والذهب من بعض الدول الأجنبية. المزارعون البيض من قبل السيد روبرت موغابي وأتباعه ، الذين فرضوا قيودًا على قانون الإعلام لحماية أفعالهم الشريرة.
د مصادرة جميع حسابات وأصول السكان الأصليين من السود [بما في ذلك أصول آبائي وحساباتهم] الذين يعارضون سياساته ويقدمون الدعم لهؤلاء المزارعين البيض ، إلى جانب أصول هؤلاء المزارعين البيض أنفسهم ، التي تتم مصادرتها حاليًا. لنقل والدتي وأختي الصغرى إلى جمهورية جنوب إفريقيا ، حيث نعيش حاليًا بدون أي شيء وبدون أي مصدر للحيوية.

خلال حياة والدي على الأرض ، كان قد أودع مبلغًا قدره سبعة ملايين وأربعمائة ألف دولار أمريكي [7.400.000.00 دولار] ، في صندوق صندوق مع شركة للتمويل والأمن في جمهورية توغو مقابل مبلغ نقدي وحمل الماس و تجارة الذهب مع بعض العملاء التجاريين الأجانب ، في انتظار التعليمات بنقلهم إلى وجهتهم ، والتي لم يكملها قبل أن يلقى وفاته المفاجئة في ذلك اليوم المخلص.";Phish Email - 37
